title,property_number,property_price,additional_cost,debt,built_year,size,rooms,bathrooms,bedrooms,shared_entrance,parking,elevator,laus_strax,price,price_per_sqm,property_type,property_address,latitude,longitude,description,url
Vegmúli LEIGA 2,F2306009,111.900.000 kr.,142.350.000 kr.,0 kr.,Byggt 1988,"433,6 m²",0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,64.13849363,-21.87986046,"FJÁRFESTING FASTEIGNASALA, SÍMI 562-4250, ER MEÐ TIL LEIGU GLÆSILEGT SKRIFSTOFUHÚSNÆÐI Á 3. HÆÐ AÐ VEGMÚLA 2 Í REYKJAVÍK.  Um er að ræða skrifstofuhúsnæði á 3. hæð í lyftuhúsi. Stærð rýmissins er 433,2 fm. með sameign. Góð sérkaffistofa með innréttingu. Sérsnyrtingar. Um er að ræða vsk. húsnæði. Afhending í apríl 2023. Lyftuhús Einnig laust í húsinu: 285 fm. á 3. hæð 149,5 fm. á 3. hæð Upplýsingar hjá Óskari í síma 822-8750 (oskar@fjarfesting.is)",https://fasteignir.visir.is/property/440458
Laugavegur 77,,0 kr.,0 kr.,0 kr.,,641 m²,0 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,101 Reykjavík,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 641 m² skrifstofuhúsnæði á 4. hæð við Laugaveg 77. Laust samkvæmt nánara samkomulagi. Húsnæðið skiptist í skrifstofur, fundarherbergi og opið móttökurými auk kaffistofu og salerna. Tvær lyftur og gott aðgengi að rýminu. Húsnæðið býður upp á marga möguleika og hægt er að breyta milliveggjum að hluta til og aðlaga húsnæðið að nýrri starfsemi.  Einnig laust á sömu hæð 286 m² skrifstofurými og er því hægt að leigja alla 4. hæðina í húsinu, samtals 927 m². Á gólfum er dúkur og parket.  Kerfisloft og lagnastokkar á veggjum. VSK leggst við leigufjárhæðina. Nánari upplýsingar um húsnæðið eða aðrar eignir veitir Helgi Már Karlsson löggiltur fasteignasali, s. 897 7086 hmk@jofur.is eða Ólafur Jóhannsson löggiltur fasteignasali, s. 824 6703 olafur@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/441315
Laugavegur 77,,0 kr.,0 kr.,0 kr.,,927 m²,0 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,101 Reykjavík,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 927 m² skrifstofuhæð á 4. hæð við Laugaveg 77. Laust samkvæmt nánara samkomulagi. Um heila hæð er að ræða. Húsnæðið skiptist í skrifstofur, fundarherbergi og opið móttökurými auk kaffistofu og salerna. Tvær lyftur og gott aðgengi að rýminu. Húsnæðið býður upp á marga möguleika og hægt er að breyta milliveggjum að hluta til og aðlaga húsnæðið að nýrri starfsemi.  Á gólfum er dúkur og parket.  Kerfisloft og lagnastokkar á veggjum. VSK leggst við leigufjárhæðina. Nánari upplýsingar um húsnæðið eða aðrar eignir veitir Helgi Már Karlsson löggiltur fasteignasali, s. 897 7086 hmk@jofur.is eða Ólafur Jóhannsson löggiltur fasteignasali, s. 824 6703 olafur@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/441321
Vegmúli 2,F2306011,118.500.000 kr.,142.350.000 kr.,0 kr.,Byggt 1988,149 m²,3 herb.,4 baðherb.,,Sameiginl. inngangur,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,64.1385,-21.8798666666667,"Ársalir ehf - fasteignamiðlun 533 4200 kynna: Til leigu vandað skrifstofu húsnæði á 5-hæð í lyftu húsi, suð- austur endi. Mest opið svæði, fundarherbergi, kaffistofa og snyrtingar. Laust til afhendingar 01.02.2023. 
Áhugasamir bókið skoðun á:  arsalir@arsalir.is Ársalir ehf - fasteignamiðlun 533 4200 kynna:",https://fasteignir.visir.is/property/441330
Snorrabraut 62,F3688645,0 kr.,0 kr.,0 kr.,Byggt 2022,"269,9 m²",0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,105 Reykjavík,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 269,9 m² nýtt verslunarhúsnæði að meðtalinni sameign við Snorrabraut. Áætlað er að húsnæðið verði tilbúið til afhendingar innan þriggja mánaða. Nánari lýsingu. Sérnotaýmið sem er 216 m² verður að mestu leyti opið verslunarrými með um rúmlega 4 m. lofthæð, kaffistofu, starfsmannaaðstöðu og Wc. Vöruaðkoma með hurð er bakatil.  Skilalýsing:  Rýmin afhendast tilbúin til innréttinga, loft og veggir grunnmáluð, gólf tilbúið til flotunar, rafmagnstafla komin upp og vinnulýsing. Allir neysluvatnsstútar tilbúnir til tengingar. Gluggar og hurðir úr vönduðu álkerfi. Allt ytra byrði, lóð og önnur sameign fullfrágengin. VSK leggst við leigufjárhæðina. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur fasteignasali, í síma 897 7086 tölvupóstur hmk@jofur.is eða Ólafur Jóhannsson löggiltur fasteignasali, í síma 824 6703 tölvupóstur olafur@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/441559
Snorrabraut 62,,0 kr.,0 kr.,0 kr.,Byggt 2022,"442,7 m²",0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,105 Reykjavík,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 442,7 m² nýtt verslunarhúsnæði að meðtalinni sameign við Snorrabraut. Áætlað er að húsnæðið verði tilbúið til afhendingar innan þriggja mánaða. Nánari lýsing: Sénotarýmið sem er 354,3 m² verður að mestu leyti opið verslunarrými með um rúmlega 4 m. lofthæð, kaffistofu, starfsmannaaðstöðu og Wc. Vöruaðkoma með hurð er bakatil.  Skilalýsing:  Rýmin afhendast tilbúin til innréttinga, loft og veggir grunnmáluð, gólf tilbúið til flotunar, rafmagnstafla komin upp og vinnulýsing. Allir neysluvatnsstútar tilbúnir til tengingar. Gluggar og hurðir úr vönduðu álkerfi. Allt ytra byrði, lóð og önnur sameign fullfrágengin. VSK leggst við leigufjárhæðina. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur fasteignasali, í síma 897 7086 tölvupóstur hmk@jofur.is eða Ólafur Jóhannsson löggiltur fasteignasali, í síma 824 6703 tölvupóstur olafur@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/441565
Lambhagavegur 9,F2500451,41.400.000 kr.,70.400.000 kr.,0 kr.,Byggt 2019,"188,4 m²",0 herb.,1 baðherb.,,,,,,Tilboð,,atvinnuhúsnæði,113 Reykjavík,64.1375022,-21.75629161,"ALDA fasteignasala kynnir til leigu á móti núverandi starfsemi Lambhagaveg 9, 113 Reykjavík, skráð stærð eignarinnar er 188,4 fm. Húsnæðið hentar vel fyrir íþróttaiðkun, ljósmyndara, nuddara eða litla verslun. Skráð stærð er 188,4 fm, að auki eru tvö milliloft. Aðstaðan leigist á móti núverandi starfsemi, og er laus frá morgni til kl 17 á daginn. Húsnæðið skiptist upp í þrjú rými, sem hægt er að leigja saman eða í sitthvoru lagi. Part úr degi eða allan daginn, til kl 17. Einnig er laust um helgar.  Leiguverð er samkomulag.  Neðri hæð hússins er um 100 fm. Pole / aerial stúdíó með 5m lofthæð, dansdúkur á gólfi, speglar á veggjum, hátalarakerfi, ljósakerfi, loftfestingar 8 punktar í lofti, yoga dýnur, ýmis annar æfingabúnaður, sturta, skiptiklefi, þykkar öryggisdýnur fyrir æfingar. -Athygli er vakin á því að ekki er hægt að taka súlur í pole stúdíói niður. Aðstaða fyrir ljósmyndara  eða íþróttaiðkun með 4m lofthæð er á neðrihæðinni þar sem engar súlur eru og hægt er að semja um notkun á ljósmyndara bakrunni. Verslunarrými Panill á veggjum, aðgangur að salerni,  Efri hæðin er u.þ.b. 36 fm rými  með 2.3 m lofthæð. -Hægt er að taka súlur niður í rýminu, dansdúkur á gólfi, speglar á vegg, hátalari, led ljósaborði, aðgangur að salerni. Einnig er möguleiki á að setja hurð og læsa rýminu sé þess óskað. -Aðgangur að þvottaaðstöðu getur verið með öllum rýmum sé þess óskað. -Hægt er að semja um aðgang að geymslurými sé þess þörf. -Hægt er að semja um notkun á stólum sé þess óskað, t.d. fyrir námskeiðshöld.  Nánari upplýsingar veitum við fúslega Ragnhildur Finnbogadóttir, aðstoðarmaður fasteignasala, 772-2791, adda@aldafasteignasala.is. Erling Proppé, löggiltur fasteignasali, 690-1300, erling@aldafasteignasala.is",https://fasteignir.visir.is/property/442234
Korngarðar 2,,0 kr.,0 kr.,0 kr.,Byggt 2000,1600 m²,20 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,104 Reykjavík,64.15154499,-21.86289661,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu um 1.600 m² skrifstofuhæð á jarðhæð við Korngarðar 2, 104 Reykjavík. Laust strax. Möguleiki er á að leigja hluta hæðarinnar. Húsnæði skiptist í móttöku og opið vinnurými, nokkra vinnusal, skrifstofur og fundarherbergi. Salerni eru í báðum endum á hæðinni. Um er að ræða alla jarðhæðina í húsinu. Húsið er staðsett á hafnarsvæði í Sundahöfn og er góð aðkoma að því og stutt í stofnumferðargötur. Malbikuð bílastæði eru við húsið.  Húsið hýsti áður starfsemi Eimskipafélagsins og var innréttað um starfsemi þess.     Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/442275
Vegmúli 2,,0 kr.,0 kr.,0 kr.,,"434,5 m²",0 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 434,5 m² skrifstofuhúsnæði á 3.h. við Vegmúla, 108 Reykjavík.  Laust frá 1. júní 2023 Skiptist upp í nokkrar lokaðar skrifstofur, fundarherbergi, eldhús og snyrtingar. Á gólfum er dúkur. Vandað kerfisloft og lýsing í loftum. Hægt er að skipta þessu húsnæði 2 minni einingar þ.e. um 285 m² og 149,5 m². VSK leggst við leigufjárhæðina. Á 1. hæð hússins er sameiginleg sturtu- og búningsaðstaða ásamt hjólageymslu. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur fasteignasali, s. 897 7086 hmk@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/442592
Vegmúli 2,,0 kr.,0 kr.,0 kr.,,285 m²,0 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu um 285 m² skrifstofuhúsnæði á 3.h. við Vegmúla, 108 Reykjavík.  Laust strax! Skiptist upp í nokkrar lokaðar skrifstofur, fundarherbergi, eldhús og snyrtingar. Á gólfum er dúkur. Vandað kerfisloft og lýsing í loftum. Hægt er að leigja til viðbótar 149,5 m² skrifstofurými á sömu hæð eða samtals 434,5 m².  VSK leggst við leigufjárhæðina. Á 1. hæð hússins er sameiginleg sturtu- og búningsaðstaða ásamt hjólageymslu. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur fasteignasali, s. 897 7086 hmk@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/442593
Vegmúli 2,,0 kr.,0 kr.,0 kr.,,"149,5 m²",0 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu um 149,5 m² skrifstofuhúsnæði á 3.h. við Vegmúla, 108 Reykjavík.  Laust strax! Skiptist upp opið skrifstofurými, fundarherbergi, kaffiaðstöðu og snyrtingu. Á gólfum er dúkur. Vandað kerfisloft og lýsing í loftum. VSK leggst við leigufjárhæðina. Á 1. hæð hússins er sameiginleg sturtu- og búningsaðstaða ásamt hjólageymslu. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur fasteignasali, s. 897 7086 hmk@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/442594
Skeifan 8,,0 kr.,0 kr.,0 kr.,,1800 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,64.13072349,-21.87117612,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu samtals um 1.800 m² lager-, iðnaðarhúsnæði við Skeifuna. Laust strax. Hægt er að skipta húsnæðinu niður í tvo eða þrjá hluta. Lofthæð í lagerhluta er um 4,4 m. Tvær innkeyrsluhurðir er á á norðurhlið hússins og er ekið um ramp til þess að komast að þeim. VSK leggst við leigufjárhæðina. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur fasteignasali, í síma 897 7086 tölvupóstur hmk@jofur.is eða Ólafur Jóhannsson löggiltur fasteignasli, í síma 824 6703 tölvupóstur olafur@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/414661
Tónahvarf 5,,0 kr.,0 kr.,0 kr.,,"713,4 m²",0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,203 Kópavogur,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu um 714 m² atvinnuhúsnæði við Tónahverf 5 í Kópavogi.  Grunnflötur jarðhæðar er um 534 m² en milliloft er 179 m². Tónahvarf 5 er tveggja hæða staðsteypt fjölnotahúsnæði ásamt millilofti. Mjög gott útsýni til norðurs á efri hæðum með stórum útsýnisgluggum sem eru allt að 1,8 metri að hæð sem tryggir mikla birtu innan rýmis. Svalir eru á efri hæðum, um 10 fm að stærð. Nánar um hönnun: Hæðir skiptast í grunnflöt sem er með aðkomu fyrir neðan hús og ásamt aðkomuhæð við Tónahvarf. Um 25% af heildarstærð er með steyptu millilofti sem er hægt að nýta sem skrifstofur eða minni lager. Lofthæðir eru frá 6 – 7,5 metrum að hæð og milliloft frá 3 – 4,2 metrum að hæð. Rýmum verður skilað með salernum, ræstirými ásamt kaffistofu. Húsin eru nýtt undir ýmisskonar starfsemi svo sem heildsölur, skrifstofur, verslanir og vörulager. Hafðu samband við Ólaf Jóhannsson löggiltan leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/415005
Faxafen 10,,0 kr.,0 kr.,0 kr.,,"2292,1 m²",0 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu og sölu 2.292,1 m² skólahúsnæði á 2. hæð við Faxafen.  Laust með 3ja - 6 mánaða fyrirvara. Húsnæðið skiptist upp í 16 misstórar lokaðar kennslustofur, stórt opið rými fyrir miðju, 3-4 lokaðar skrifstofur, 3 stórar geymslur, fundaherbergi, eldhús og snyrtingar. Tveir inngangar á vesturhlið hússins, hjólastólalyfta er í suðurenda.  Snyrtingar eru í hvorum enda. Í norðurenda er afgreiðsla, eldhús/ kaffistofa, borðstofa, 3-4 skrifstofur, hringstigi uppí rishæð þar sem eru 3 stórar geymslur eða rými fyrir ýmislegt. Miðrými á hæðinni með breiðum þakglugga eftir endilöngu húsinu og mikilli lofthæð og er það það rými stórt og rúmgott, með eldhúsaðstöðu fyrir nemendur. Í suðurenda húsnæðisins fyrir miðju er móttaka, 5 skrifstofur, snyrting, hringstigi uppí risloft þar sem er eldhús/ kaffistofa, 3 gluggalausar geymslur og 2 herbergi / rými með þakgluggum. Sprinkler-kerfi er til staðar í húsnæðinu. Dúkur á gólfum. VSK leggst ekki við leigufjárhæðina. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur leigumiðlari í síma 897 7086 tölvupóstur hmk@jofur.is eða Ólafur Jóhannsson löggiltur leigumiðlari í síma 824 6703 tölvupóstur olafur@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/415073
Tónahvarf 5,,0 kr.,0 kr.,0 kr.,,"569,5 m²",0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,203 Kópavogur,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 569,5 m² atvinnuhúsnæði við Tónahverf 5 í Kópavogi.  Grunnflötur jarðhæðar er um 430,9 m² en milliloft er um 138,6 m². Tónahvarf 5 er tveggja hæða staðsteypt fjölnotahúsnæði ásamt millilofti. Mjög gott útsýni til norðurs á efri hæðum með stórum útsýnisgluggum sem eru allt að 1,8 metri að hæð sem tryggir mikla birtu innan rýmis. Svalir eru á efri hæðum, um 10 fm að stærð. Nánar um hönnun: Hæðir skiptast í grunnflöt sem er með aðkomu fyrir neðan hús og ásamt aðkomuhæð við Tónahvarf. Um 25% af heildarstærð er með steyptu millilofti sem er hægt að nýta sem skrifstofur eða minni lager. Lofthæðir eru frá 6 – 7,5 metrum að hæð og milliloft frá 3 – 4,2 metrum að hæð. Rýmum verður skilað með salernum, ræstirými ásamt kaffistofu. Húsin eru nýtt undir ýmisskonar starfsemi svo sem heildsölur, skrifstofur, verslanir og vörulager. Hafðu samband við Helga Má Karlsson, löggiltan fasteignasala í síma 897-7086 hmk@jofur.is Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/415019
Skeifan 8,,0 kr.,0 kr.,0 kr.,,900 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,64.13081711,-21.87121904,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu samtals um 900-1000 m² lager-, iðnaðar- og skrifstofuhúsnæði við Skeifuna. Laust strax. Húsnæðið skiptist upp í nokkra vinnusali, starfsmannaaðstöðu, skrifstofur (um 240 m²) og snyrtingar.  Lofthæð í lagerhluta er um 4,4 m. Ein innkeyrsluhurð er á norðurhlið hússins og er ekið um ramp. VSK leggst við leigufjárhæðina. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur fasteignasali, í síma 897 7086 tölvupóstur hmk@jofur.is eða Ólafur Jóhannsson löggiltur fasteignasli, í síma 824 6703 tölvupóstur olafur@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/415101
Urðarhvarf 8,,0 kr.,0 kr.,0 kr.,,765 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,203 Kópavogur,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu um 756,8 m² skrifstofuhúsnæði á 2. hæð (gengið beint inn af bílastæði að sunnanverðu) við Urðarhvarf í Orkuhúsinu í Kópavogi. Húsnæðið getur verið tilbúið til afhendingar með 3-6 mánaða fyrirvara. Nánari lýsing: Húsnæðið er óinnréttað í dag en fyrirkomulag þess getur verið ýmist opin rými eða lokuð að hluta, allt eftir þörfum væntanlegs leigjanda. Gólfefni, loft, lýsing getur verið í samráði við leigjanda. Aðgengi fatlaðra er gott. VSK leggst við leigufjárhæðina. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur fasteignasali, s.  897 7086 hmk@jofur.is   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/415617
Urðarhvarf 8,,0 kr.,0 kr.,0 kr.,,771 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,203 Kópavogur,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu um 771 m² skrifstofuhúsnæði á 1. hæð (gengið beint inn af bílastæði að norðanverðu) við Urðarhvarf í Orkuhúsinu í Kópavogi. Húsnæðið getur verið tilbúið til afhendingar með 3-6 mánaða fyrirvara. Nánari lýsing: Húsnæðið er óinnréttað í dag en fyrirkomulag þess getur verið ýmist opin rými eða lokuð að hluta, allt eftir þörfum væntanlegs leigjanda. Gólfefni, loft og lýsing getur verið í samráði við leigjanda. Aðgengi fatlaðra er gott. Gluggar snúa til norðurs. VSK leggst við leigufjárhæðina. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur fasteignasali, s.  897 7086 hmk@jofur.is Hafðu beint samband við starfsmenn Jöfurs: Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/415618
Tónahvarf 5,,0 kr.,0 kr.,0 kr.,,"408,8 m²",0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,203 Kópavogur,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 408,8 m² atvinnuhúsnæði við Tónahverf 5 í Kópavogi. Grunnflötur jarðhæðar er um 305,3 m² en milliloft er 103,5 m². Tónahvarf 5 er tveggja hæða staðsteypt fjölnotahúsnæði ásamt millilofti. Nánar um hönnun: Hæðir skiptast í grunnflöt sem er með aðkomu fyrir neðan hús og ásamt aðkomuhæð við Tónahvarf. Um 25% af heildarstærð er með steyptu millilofti sem er hægt að nýta sem skrifstofur eða minni lager. Lofthæðir eru frá 6 – 7,5 metrum að hæð og milliloft frá 3 – 4,2 metrum að hæð. Rýmum verður skilað með salernum, ræstirými ásamt kaffistofu. Húsin eru nýtt undir ýmisskonar starfsemi svo sem heildsölur, skrifstofur, verslanir og vörulager. Hafðu samband við Helga Má Karsson löggiltan leigumiðlara í síma 897-7086 helgi@jofur.is eða Ólaf Jóhannsson löggiltan leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/417252
